LINK,TITLE,LOCATION,SALARY,SUMMARY
https://kr.indeed.com/viewjob?jk=5d124e1bb9137bb5,사내 전산시스템 관리(정보시스템팀) 직원,넥스틸 포항 남구,"연봉 32,000,000원 - 34,000,000원","사내전산 시스템(웹) 개발유지 보수 -해당직무 경력자 우대(시스템분석설계 개발경험자) -ASP, C#, JAVA, JSP, MS-SQL 프로그램운영가능자 -웹개발/ DBA /NW 관리능력자 우대 *채용대행사업장이므로 반드시..."
https://kr.indeed.com/viewjob?jk=74afc03585762133,Senior Solution Architect - (VMware Tanz...,Dell 4.0 서울,,enterprise middleware and Java Spring-based mission critical applications Knowledge of Java frameworks and libraries (Spring...
https://kr.indeed.com/viewjob?jk=8f0dfcd582982dcb,멜론 서비스 데이터 분석 및 개발자,카카오 4.2 성남 판교역,,이언스 직무 경력 1년 이상 데이터 분석에 필요한 대용량 데이터 처리 SQL 구현 능력과 Python 또는 Java 개발 경험과 이해도가 높은 분 맡은 업무에 책임감이 강하고 업무의 과정과 결과를 설득력 있게 전달할 수 있는...
https://kr.indeed.com/viewjob?jk=af2b53a63f7faa87,초급자 JAVA/JSP 신입 개발자(SI/SM),블루웨이브컨설팅 서울 마포구,,"지원자격 경력 신입·경력 학력 학력무관 성별 무관 기타 담당업무 초급자 JAVA/JSP 신입 개발자(SI/SM)을 모집합니다. 커리어 양식 지원 아직... 웹프로그래머웹프로그래머, JSP, JAVA 산업별(업종) 웹에이전시 웹에이전시"
https://kr.indeed.com/viewjob?jk=0ffe159b4b5b50c3,[디자인 및 웹퍼블리싱] 웹서비스 UI 개발,싱크테크노 성남 분당구,"연봉 24,000,000원 - 26,000,000원","절차 및 제출서류 제출서류 이력서에 응시분야, 연락처, 희망연봉 기재 직무/산업 직무별(직종) 콘텐츠.사이트운영디버깅 웹프로그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA, PHP, CGI, XML"
https://kr.indeed.com/viewjob?jk=977c34e096023e2a,개발열정 가득한 C# / JAVA 개발자,피어라인 군포 산본동,,"멀티미디어 SW (팟플레이어, 곰인코더 등) 개발 역량 확보 가능 * 개발 환경 Flexible * C# 또는 JAVA 언어 필수 * DBMS(MySQL 또는 Oracle) 경험 및 이해도 * C++ 언어 우대 * WEB..."
https://kr.indeed.com/viewjob?jk=c1f275555e3c21d9,투자풀운영본부 경력직원(~01/19),한국투자신탁운용 대한민국,,"금융기관 등 IT업무 경험자 - 연금/기금/펀드 등 자산운용 지원시스템 분석, 운영업무 2년이상 경험자 - JAVA, JSP, Oracle 프로그램 경험자 2) 주요업무 - 자산운용 지원시스템 관리 - 자산운용 관련 데이터베..."
https://kr.indeed.com/viewjob?jk=8e2b93b7c712c390,모바일 서비스 api 서버 개발자,띵스플로우 서울,,하고 개선하는 데 도움이 되는 서버 인프라를 구성합니다. 자격요건 • 서비스 개발을 좋아하시는 분 • Java 기본 • 최소한 하나의 언어에 깊이가 있으신 분 • RESTful API에 대한 이해를 바탕으로 설계 및...
https://kr.indeed.com/viewjob?jk=a0427584e85a0d53,안드로이드 개발자,myrealtrip 서울,,https://bit.ly/2MWrloq [자격요건] 3년 이상의 Android 개발 경험이 있으신 분 Java 언어에 대한 이해와 Kotlin 으로 개발 경험을 보유하신 분 기술적 문제에 대한 토론과 코드리뷰에 거부감이...
https://kr.indeed.com/viewjob?jk=8edf6cd98c75b235,DoosanCONNECT Application Architect 그룹주력...,그룹주력계열사 서울특별시,,"전사 IT 전략기획을 위한 Skill - 기획, 분석 및 보고서 작성 Skill - IT 기술 1. 언어 : JAVA, C#, C++ , Jquery, HTML5/CSS , Vuejs 2. 프레임워크 : Spring..."
https://kr.indeed.com/viewjob?jk=85534d40db28e7b9,[오디오플랫폼] 오디오클립 서비스 개발자,네이버 대한민국,,비즈니스 모델 구축 - 클로바 및 AI스피커 등 오디오 콘텐츠 제공을 위한 플랫폼 연동 [지원자격 ] - Java / Spring 기반의 Backend 개발 경험 ( 3년 이상 또는 그에 준하는 역량을 보유하신 분) - DB...
https://kr.indeed.com/viewjob?jk=f3342a0b3595ee67,ERP 개발/유지보수 및 신규 ERP 시스템 도입,(주)에이블씨엔씨 서울 서초구,,"검토 - ERP 시스템 분석 및 컨설팅, 구축업체 지원 [자격요건] - 관련경력 8~12년 - Java개발 가능자 - SAP 구축 및 운영 유경험자 - Database에 대한 이해 및 Query 개발 가능자..."
https://kr.indeed.com/viewjob?jk=d08bcd01e195b7c0,백엔드 개발자 - 신규 플랫폼 개발,myrealtrip 서울,,"[담당업무] Java와 Spring Framework 기반의 새로운 마이리... 분(특히 상품, 주문, 정산 도메인의 경험이 있으시면 더욱 좋습니다.) Java와 Spring Framework에 대한 개발 경험을 갖고 계신 분..."
https://kr.indeed.com/viewjob?jk=7b754fcbbd65e591,백엔드 개발자 - API 연동 플랫폼 개발,myrealtrip 서울,,준하는 역량을 보유하신 분 API 연동 경험이 풍부하신 분 (다양한 제휴사의 API 스펙 연동 경험이 있으신 분) Java와 Spring Framework에 대한 개발 경험을 갖고 계신 분 [우대사항] Reactive...
https://kr.indeed.com/viewjob?jk=d1deb19b190d2721,it개발/운영,함께일하는세상 서울,,"보유기술 : - wordpress plugin 개발 가능 ( theme 개발 우대 ) - 사용언어 : php, java and jquery - Mysql n 우대사항 : - Toolset 사용가능자 우대 - 기본적..."
https://kr.indeed.com/viewjob?jk=881a1aa0f0646335,Tech U Associate Professional Services C...,Amazon Web Services Korea LLC 서울,,"one... following programming languages: Java, Python, Ruby, Node.js, C#, or C++... programming (Node.JS, Java, Ruby, C#, C++..."
https://kr.indeed.com/viewjob?jk=f74538fee2a1260c,네이버 CONOMI (일본맛집) App 개발자,네이버 대한민국,,iOS 서비스 개발 2 년 이상 - 다양한 라이브러리를 적용한 경험 - Swift / Kotlin / Java / C++ 언어를 사용한 서비스 개발 [우대사항] - Swift / Kotlin 개발 경험 2 년 이상...
https://kr.indeed.com/viewjob?jk=cba363a57fdf6516,JAVA개발자,아이비센터 서울 서초구,,"상여금 : 0% (미 포함) - 면접 후 결정 가능 우대조건 : 인근거주자,고용촉진지원금대상자,청년층우대 [장애인채용희망여부] 비희망 [병역특례] - 비희망 인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA"
https://kr.indeed.com/viewjob?jk=5c6723a17ad467f6,Solutions Architect - Amazon Connect,Amazon Web Services Korea LLC 서울,,"getting hands dirty with code/scripting (e.g, python, java, c#, .NET, Node.js) Amazon Web Services is looking for Solutions..."
https://kr.indeed.com/viewjob?jk=dcbce45dbe2d3679,Senior Full-Stack Developer,Asiance 서울,,"등의 CMS도 사용. • Python, Node.js, Java, PHP for backend development. • Python, Node.js, Java, PHP 등을 사용하여 백엔드 . • MySQL..."
https://kr.indeed.com/viewjob?jk=fa127317df8ec3d5,모바일 소프트웨어 및 솔루션 개발자,엔비젼크리에이티브 고양 일산동구,,"드웨어 회로설계 가능자 - 프로젝트 실무경력 보유자로 실무 수행 가능한 분 [웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자 - HTML, JavaScript, css 능숙자 - MS SQL, Oracle..."
https://kr.indeed.com/viewjob?jk=58d3b1944562704d,PMO (Project Management Operations),RNA Systems 서울,"월급 1,800,000원 - 2,000,000원",우대 사항] - 전산관련 전공 또는 프로그래밍 능력이 있는 자 (필수는 아님) - 자료구조 / 알고리즘 / Java 등 프로그래밍 언어 이수 - 오픈소스 소프트웨어 교내 혹은 외부 프로젝트 참여 경험 근무 형태: 인턴...
https://kr.indeed.com/viewjob?jk=1c21a244a72f1783,운영 개발자,Feelway 서울,,"Javascript Framework, Git, Docker 의 경험 우대사항 • 쇼핑몰, 이커머스 근무 경력 • Java개발 경력 채용절차 • 서류합격 -> 스크리닝 테스트 -> 온라인 인성검사 -> 면접 -> 최종합격..."
https://kr.indeed.com/viewjob?jk=e156570e477aea13,백엔드 개발 정규직 경력사원(5년 이하),포티투마루 서울 봉천동,,"예정자 - 성별 : 무관 - 모집인원 : 0명 [기술 기본요건] - 컴퓨터 관련 전공 또는 정보처리기사 자격 - Java 또는 그에 상응하는 범용 프로그래밍 언어 중 하나 중급이상, 기본적인 DBMS 사용 가능 [우대조건..."
https://kr.indeed.com/viewjob?jk=c006758ce20d609a,함께할 웹프로그래머 찾습니다.,아프로씨앤아이 서울 종로구,"월급 2,000,000원","정지 서울특별시 종로구 인사동5길 8층 인근지하철 직무내용 [ 담당업무 ] - 프로그램 개발/운용/유지보수 - Java, Jsp, Ajax, jQuery, vuejs, react, MyBatis, MS-SQL, MY-SQL..."
https://kr.indeed.com/viewjob?jk=c714511d4e9686e5,JAVA(자바) 경력 개발자,위즈넷 안양 동안구,"연봉 40,000,000원 - 42,000,000원","학력 - 성별 무관 기타 담당업무 - 모집분야 : JAVA 개발자 - 담당업무 : 프로그램 및 홈페이지 개발, 유지보수 - 근무부서 : 연구실 - 학력 : 초대졸 이상 - 경력 JAVA 경력 4년 이상 - 개발환경 : AWS..."
https://kr.indeed.com/viewjob?jk=40ffa23b11094ec4,"VC,VB, 응용소프트웨어 직원",에스아이엠티 청주 흥덕구,"연봉 34,000,000원 - 36,000,000원","산업 직무별(직종) 응용프로그래머VisualC, VisualC++, VisualBasic, C, C++, MFC, PowerBuilder, Java, .NET, Tuxedo 산업별(업종) 반도체.디스플레이.광학 반도체생산"
https://kr.indeed.com/viewjob?jk=9db93dd0695793b6,[API플랫폼] 테크니컬 어카운트 매니저(Technical Account...,카카오 4.2 성남 판교역,,"무의 우선순위 및 중요도 관리 능력 웹 서버, 데이타베이스 및 모바일 디바이스의 디버깅, 트러블슈팅 경험 Java, Swift, Kotlin, Javascript로 작성된 소스 코드 경험 ※ 카카오 기술 직군의 경우, 개발..."
https://kr.indeed.com/viewjob?jk=dc821489255954fd,Developer Advocate,SendBird 서울,,"one or more... following technologies: Objective-C, Java, Swift, JavaScript, and Python * Strong written and verbal..."
https://kr.indeed.com/viewjob?jk=5da2bb425602f414,안드로이드 개발자,메이크잇 서울 성동구,"연봉 26,000,000원","근무예정지 서울특별시 성동구 광나루로 130 14층 1406호 인근지하철 직무내용 안드로이드 개발자 채용 - JAVA, 코틀린, 안드로이드 -신입지원가능 -연봉:2600만원(면접후 협의가능) -근무시간:09:00~18:00..."
https://kr.indeed.com/viewjob?jk=f1e17c5f6ea29dcf,온오프라인 거래중개플랫품 웹/서버 개발,아이비베리 서울 마포구,,"- 대용량 트래픽 운영 경험 우대, Java 경험자 우대 - 전공우대(컴퓨터공학, 물리학, 수학) 인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어"
https://kr.indeed.com/viewjob?jk=a9ac22306826add6,[LINE BIZ PLUS] Payment/Point 서버 개발,라인비즈플러스 성남 분당구,,시스템 개발 [자격요건] - Java 혹은 Kotlin 언어에 능숙한... 인터넷·IT·통신·모바일·게임>웹프로그래밍> JAVA|인터넷·IT·통신·모바일·게임>응용 프로그래밍> JAVA|인터넷·IT·통신·모바일·게임>데이터베이스>MySQL
https://kr.indeed.com/viewjob?jk=e66153d34a8ab2a1,딜러포털 시스템 운영 유지보수 그룹 IT인프라 구축,그룹 IT인프라 구축 서울특별시,,"SAP EP기반 딜러포털 및 JAVA 기반 Web 시스템 개선 및 운영... 관리 프로세스 운영 경험 - Java Framework 및 SaaS등의 Cloud 개념 이해자 우대"" Skill - Java 기반의 응용 프로그램..."
https://kr.indeed.com/viewjob?jk=0aa5f158999a8f91,데이터 엔지니어,myrealtrip 서울,,"처리 경험이 있으신 분 ELK 스택을 이용한 데이터 수집 및 Visualize 경험이 있으신 분 Python, Java, Scala 이용한 개발 경험이 있으신 분 * 채용공통사항 [채용절차] 서류전형 1차 (실무진 면접..."
https://kr.indeed.com/viewjob?jk=f044d9361c664f80,Technical Trainer - Amazon Web Services,Amazon Web Services Korea LLC 서울,,"experience in one or more... following languages, Java, .Net, Perl, PHP, Ruby,Python... R. · · Use Deep Learning..."
https://kr.indeed.com/viewjob?jk=314cb11dce58741e,서버 웹 애플리케이션 개발,픽셀로 경기도 의왕,,"없음.비젼이 있는 회사 서버 웹 애플리케이션 개발... Web Application Server) 개발 - Java/Spring, Html/css/Node.js/javascript - RDBMS - Mobile app..."
https://kr.indeed.com/viewjob?jk=5165e421f9ea094f,Oracle DBA Field Service Analyst,ManTech International Corporation 대한민국,,"Computing Environment: Oracle Certified Associate ( Java SE 5/SE 6) Oracle 10g... 11g installation, configuration..."
https://kr.indeed.com/viewjob?jk=37da5b148b2d3ef4,Senior Data Scientist - AWS Professional...,Amazon Web Services Korea LLC 서울,,analysis · Good skills with programming languages... Java or C/C++ · Ability to develop experimental and analytic plans...
https://kr.indeed.com/viewjob?jk=b6f59044dc92aed7,직원 공고 (계약직 전산원),국립교통재활병원 양평 양평읍,,실무 경력 2년 이상 [우대사항] * 병원 OCS/EMR 개발 경력자 * 정보처리기사 자격 소지자 * JAVA 언어 개발 경력자 * 국가보훈대상자 우대 2.전형절차 - 1차(서류심사) 2차(면접) 3. 전형일정...
https://kr.indeed.com/viewjob?jk=5f4e787f01b7ac00,JAVA 개발자,투와이 경기도 시흥,"연봉 24,000,000원 - 26,000,000원","지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 자사 솔루션 유지보수( JAVA) 모바일 앱 유지보수 (안드로이드, iOS) 리눅스, DB 에 대한 이해 필요 상세모집요강 접수기간/방법 지원방법 전형절차 및..."
https://kr.indeed.com/viewjob?jk=e5c63f4e86ceefda,Technical Writer,SendBird 서울,,"Experience with one or more... following languages; Objective-C, Java, Swift, JavaScript, and Python ABOUT SENDBIRD..."
https://kr.indeed.com/viewjob?jk=b89b9b82ba1f2576,웹디자인/코딩가능자,반디 경기도 남양주,"연봉 24,000,000원 - 35,000,000원","전공: 패션디자인, 시각디자인, 산업디자인 - 웹싸이트 전반적인 개발 연동등 가능자 (HTML/CCS/PHP/ JAVA)중 잘 다룰줄아는 자 지원시 회사위치로 출퇴근 가능한 거리인지 확인바람. 포트폴리오나 사이트링크등 본인의..."
https://kr.indeed.com/viewjob?jk=b2556e2ba750dfd4,이안소프트 함께 일할 개발자.(내일채움공제가입),이안소프트 서울 성동구,"연봉 25,000,000원","지하철 직무내용 JAVA 프로그램 개발 공공기관, 금융권, 통신사, 일반회사 등 전산업분야를 통틀어 구축함 (응용 프로그램, 솔루션, 등등) 장비는 제공 전공은 무관하지만 반드시 6개월 국비 OR JAVA개발자 과정을 수료..."
https://kr.indeed.com/viewjob?jk=3bb6413ddb2e23bc,JAVA 경력사원 정규직,에오스와이텍 서울 강남구,,(주)에오스와이텍 JAVA 경력사원 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] - JAVA 개발자 [근무부서 및... 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA
https://kr.indeed.com/viewjob?jk=ba738a285b5823c3,Enterprise Sales Engineer,DataDog 대한민국 +1 지역,,"technologies. Programming experience. Extra points for Java, Python, Ruby, Go, Node.JS, PHP... NET Experience in systems..."
https://kr.indeed.com/viewjob?jk=710d09d64b23f825,백엔드 개발자 - Payment 개발팀,myrealtrip 서울,,"보유하신 분 E-commerce의 주문/결제/정산 도메인 영역에서 3년 이상의 개발 경험을 가지고 계신 분 Java와 Spring Framework에 대한 개발 경험을 갖고 계신 분 대규모 서비스 설계, 구축, 운영 경험이..."
https://kr.indeed.com/viewjob?jk=9d4c2a4fa17a8d2a,수성정보통신 안드로이드 앱 개발자,수성정보통신 경기도 평택,"월급 2,500,000원","수성정보통신 | 안드로이드 앱 화면구성코딩 개발자 | java,응용프로그래머 | 계약직 | 1개월~3개월 | 요일협의 | 조일근무 | 월급 2,500,000 | 25 ~ 37 | 2020-02-17"
https://kr.indeed.com/viewjob?jk=6d479593b544fa68,카카오 전체의 사용자 플랫폼 만들 서버개발자,카카오 4.2 성남 판교역,,어뷰징 시도를 탐지 및 차단하는 시스템 개발 지원자격 필요 기술셋 및 지원 자격 개발 경력 2년 이상 Java 와 Spring framework를 활용하여 웹어플리케이션 개발에 능하신 분 대용량 데이터 처리에 관심이...
https://kr.indeed.com/viewjob?jk=d4d0562337d05524,유지보수가능한 Web개발자,인컴비트 서울 송파구,,"인컴비트주식회사 JAVA, JSP 외 경력 정규직, 계약직, 프리랜서 채용 모집부문 및 자격요건 담당업무 자격요건 인원 유지보수, JAVA개발 [근무... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프..."
https://kr.indeed.com/viewjob?jk=6d9b32299b46244a,"[경력] Java 개발자 (3년 이상, 7년 이상)",아이투맥스 서울 마포구,,통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프... 응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=debad29522470579,Security Solution SW엔지니어,STB등 디바이스 개발 및 공급 성남 분당구,,"경력 3~10년 사원~과장급 -Skill : Programming language - C, C++, JAVA -외국어 : 고객 E-mail communication 문제 없는 수준, 고객 meeting 및 conference..."
https://kr.indeed.com/viewjob?jk=5474affc60ca0c54,Software Engineer - Mobile (iOS/Android),Pixlee 서울,,areas are strongly encouraged: * Objective C/Swift * Java * Android Studio/Xcode/other modern mobile IDEs * Javascript/HTML...
https://kr.indeed.com/viewjob?jk=abe40f9708ac638e,어플리케이션 개발 및 운영 신입 및 경력자,SW개발전문회사 서울 목동,,"[담당업무] - 어플리케이션 개발 및 운영 업무 [자격요건] - java, jsp 개발 가능자 - Spring프레임웍을 이용한 웹 어플리케이션 개발 가능자 - mysql 등 RDBS 개발 가능자 - hadoop 관련 구축 경험..."
https://kr.indeed.com/viewjob?jk=7ad3e0dd77472934,금융그룹 ICT서비스본부 웹 어플리케이션 개발 경력채용,ICT 개발 운영 정보보호 및 보안 서울 구로구,,"[담당업무] 여수신 시스템, 렌탈시스템 및 플렛폼 개발/운영 등 [자격요건] - 전문대 졸 이상 - 웹어플리케이션( Java/Jsp) 개발 경력 2년 이상 - 필요지식 및 역량 : 1) 전문대 졸업 이상 2) 웹 어플리케이션 개발..."
https://kr.indeed.com/viewjob?jk=db323686757bd35a,소프트웨어개발자,주)나눔테크 광주 북구,"연봉 24,000,000원 - 28,000,000원",1종보통 [장애인채용희망여부] 비희망 [병역특례] - 비희망 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#
https://kr.indeed.com/viewjob?jk=cf5a318410173212,ICT서비스본부 개발팀,국내자본 저축은행 서울 구로구,,"뱅킹, 스마트뱅킹) 채널 개발 및 운영 [자격요건] - 4년제 정규 대졸 이상 - 프로그램 개발자 : JSP, JAVA, ORACLE/SQL,JS, Socket, OpenAPI, UNIX, LINUX 등 활용 가능자 - 프로..."
https://kr.indeed.com/viewjob?jk=cae908d27ccf0f7c,웹 개발 대리~과장급,시스템 백업 복원 솔루션 업체 성남 수내역,,"개발 경력자 - HTML5, jQuery, java-script 가능자 - MS-SQL, MySQL 가능자 [ 우대사항 ] - 관련학과 (컴퓨터공학, 전자공학) - JAVA/JSP 개발 경력자(Spring, Mybatis..."
https://kr.indeed.com/viewjob?jk=08f486d2aa741434,클라우드 웹서비스 개발,인터넷 전문 기업 성남 분당구,,"서비스 개발 - 네이버 클라우드 플랫폼의 신규 보안상품 개발 [자격요건] - 개발 경력 3-5년차 - Java, Java Script, C/C++ 개발 경험 - Framework(Spring, Node.js 등)을 이용한..."
